what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.delete.line,1420370327405
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.copy,1420370334010
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1420370338010
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.delete.line,1420370341385
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1420370345806
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1420370346016
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1420370350163
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1420370350293
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1420370351213
executed,command,org.eclipse.jdt.debug.ui,3.3.0.v20080603,org.eclipse.jdt.debug.ui.localJavaShortcut.run,1420370353089
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1420370418045
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1420370464625
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1420370499678
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1420372848169
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1420372852902
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1420374000393
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1420374528151
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1420374533059
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1420374540630
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1420374599591
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1420374600286
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1420374660746
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1420374662265
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1420375015389
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.select.wordPrevious,1420375043880
