what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1421337236126
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1421337238521
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1421337241440
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1421337244692
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1421337254788
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.text.contentAssist.proposals,1421337259119
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1421337261406
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1421337274400
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1421337324491
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1421337404065
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.text.contentAssist.proposals,1421337405521
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1421337409949
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1421337412206
executed,command,org.eclipse.jdt.debug.ui,3.3.0.v20080603,org.eclipse.jdt.debug.ui.localJavaShortcut.run,1421337414409
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1421337419691
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1421337450850
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1421337476858
executed,command,org.eclipse.jdt.debug.ui,3.3.0.v20080603,org.eclipse.jdt.debug.ui.localJavaShortcut.run,1421337478803
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.select.lineStart,1421337483099
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.copy,1421337483919
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1421337485729
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.delete.line,1421337489456
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1421337490351
executed,command,org.eclipse.jdt.debug.ui,3.3.0.v20080603,org.eclipse.jdt.debug.ui.localJavaShortcut.run,1421337491826
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.delete.line,1421337502472
