what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1421436556537
executed,command,org.eclipse.jdt.debug.ui,3.3.0.v20080603,org.eclipse.jdt.debug.ui.localJavaShortcut.run,1421436561127
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1421436564758
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1421436618312
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1421436620092
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.refresh,1421436621049
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1421436622133
executed,command,org.eclipse.jdt.debug.ui,3.3.0.v20080603,org.eclipse.jdt.debug.ui.localJavaShortcut.run,1421436626981
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1421436636452
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1421436792786
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1421436792821
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1421436792841
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1421436795254
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1421436797620
started,bundle,org.eclipse.pde.core,3.4.0.v20080604-2000,org.eclipse.pde.core,1421436800874
closed,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1421436801021
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1421436804651
executed,command,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1421436804673
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1421436804673
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1421436804796
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1421436805786
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1421436809940
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1421436879225
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1421436883244
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1421436890726
