what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.views.ResourceNavigator,1370710982543
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.refresh,1370710983499
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1370710985462
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1370711081038
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1370711084030
activated,editor,org.eclipse.jst.jsp.ui,1.1.300.v200805152207,org.eclipse.jst.jsp.core.jspsource.source,1370711095080
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1370711106905
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1370711108744
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1370711109440
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1370711561077
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1370711561502
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1370712455816
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1370712468176
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1370712471290
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1370712476535
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1370712478594
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.select.wordNext,1370712479897
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.select.wordNext,1370712480217
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.select.wordNext,1370712480864
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1370712481649
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1370712488023
activated,editor,org.eclipse.jst.jsp.ui,1.1.300.v200805152207,org.eclipse.jst.jsp.core.jspsource.source,1370712500777
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.copy,1370712504037
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1370712519828
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.lineEnd,1370712520692
