what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1381005187157
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1381005193166
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1381005232191
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1381005271461
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1381005278860
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1381005288014
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.refresh,1381005289591
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.copy,1381005294334
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1381005295719
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1381005298713
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1381005298820
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1381005388019
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1381005389479
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1381005399473
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1381005399670
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1381005399745
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1381005414971
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1381005420295
executed,command,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.navigate.openResource,1381005420301
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1381005426456
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1381005454081
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1381005459003
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1381005459069
executed,command,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.edit.text.java.open.editor,1381005459097
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1381005463095
